epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.7075706124305725,0.913165271282196,0.0010000000474974513,0.9111793041229248,0.797248363494873,0.9594473242759705,0.6399809718132019
1,0.7569035291671753,0.939914882183075,0.0010000000474974513,0.7175939679145813,0.7907313704490662,0.9541852474212646,0.6609248518943787
2,0.7731927037239075,0.947814404964447,0.0010000000474974513,0.6778557300567627,0.8073859810829163,0.9626193642616272,0.6193537712097168
3,0.7798634767532349,0.9520589113235474,0.0010000000474974513,0.6505433320999146,0.8139029741287231,0.958520770072937,0.6447671055793762
4,0.7873099446296692,0.9544399380683899,0.0010000000474974513,0.6417995095252991,0.753077507019043,0.9484050273895264,0.7108315825462341
5,0.7928948402404785,0.9544603228569031,0.0010000000474974513,0.6484397053718567,0.825488805770874,0.9652138352394104,0.6031901836395264
6,0.7856034636497498,0.9535471200942993,0.0010000000474974513,0.6562007665634155,0.8320057988166809,0.9686185121536255,0.5892900824546814
7,0.7984796762466431,0.9567350745201111,0.0010000000474974513,0.636197566986084,0.8291093707084656,0.9692702889442444,0.5779014825820923
8,0.7978591322898865,0.9578116536140442,0.0010000000474974513,0.634628415107727,0.7849384546279907,0.9605228304862976,0.6200217604637146
9,0.7991002202033997,0.9578412771224976,0.0010000000474974513,0.6381344795227051,0.8095582723617554,0.9606945514678955,0.6433620452880859
