epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.7657461762428284,0.9389219284057617,9.999999747378752e-06,0.742484450340271,0.79290372133255,0.9523283839225769,0.6934940218925476
1,0.7949115633964539,0.953503429889679,9.999999747378752e-06,0.6637477874755859,0.825488805770874,0.9649204015731812,0.6127018332481384
2,0.8062364459037781,0.9562571048736572,9.999999747378752e-06,0.6486663222312927,0.8377987146377563,0.9697602987289429,0.5742862224578857
3,0.8049953579902649,0.9585376381874084,9.999999747378752e-06,0.6344357132911682,0.8414192795753479,0.9716728925704956,0.5597519874572754
4,0.8152342438697815,0.9603004455566406,9.999999747378752e-06,0.6239672303199768,0.8385227918624878,0.9711969494819641,0.5634080767631531
5,0.8087185621261597,0.9608985781669617,9.999999747378752e-06,0.611059844493866,0.8414192795753479,0.9720386862754822,0.5550178289413452
6,0.8174061179161072,0.9644644260406494,9.999999747378752e-06,0.5895426273345947,0.8544532656669617,0.975042998790741,0.5316171050071716
7,0.8172510266304016,0.9631388187408447,9.999999747378752e-06,0.6044367551803589,0.8559015393257141,0.975673258304596,0.5264117121696472
8,0.8220601677894592,0.9644816517829895,9.999999747378752e-06,0.588077962398529,0.8566256165504456,0.9752696752548218,0.5287537574768066
9,0.819267749786377,0.9662606120109558,9.999999747378752e-06,0.5785766243934631,0.8537291884422302,0.9752430319786072,0.5268025398254395
10,0.8250077366828918,0.9668293595314026,9.999999747378752e-06,0.574161171913147,0.853005051612854,0.9753801226615906,0.5218682885169983
11,0.826248824596405,0.9669526219367981,9.999999747378752e-06,0.5717716217041016,0.8544532656669617,0.9754980802536011,0.5207361578941345
12,0.8288861513137817,0.9683244824409485,9.999999747378752e-06,0.561934232711792,0.8464880585670471,0.9742276668548584,0.5360211730003357
13,0.8291963934898376,0.9691888689994812,9.999999747378752e-06,0.5566465854644775,0.8559015393257141,0.9764420390129089,0.5124974250793457
14,0.8375737071037292,0.9709696173667908,9.999999747378752e-06,0.5448750257492065,0.8559015393257141,0.9762879610061646,0.5140878558158875
15,0.8305926322937012,0.968816876411438,9.999999747378752e-06,0.5613938570022583,0.853005051612854,0.9743747115135193,0.5277367234230042
16,0.8369531631469727,0.9706052541732788,9.999999747378752e-06,0.5457690358161926,0.8551774024963379,0.9755346775054932,0.5190635323524475
