epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5010859370231628,0.7755284309387207,9.999999747378752e-06,1.267683744430542,0.5691056847572327,0.4017995595932007,0.5937726497650146,0.8528785705566406,1.0227128267288208,0.7160919308662415,0.45112237334251404
1,0.5837728977203369,0.8365698456764221,9.999999747378752e-06,1.0798447132110596,0.6374327540397644,0.4961216151714325,0.6393917202949524,0.8790552020072937,0.9403821229934692,0.7471910119056702,0.4815351068973541
2,0.6054917573928833,0.8513369560241699,9.999999747378752e-06,1.0202991962432861,0.6542635560035706,0.5237356424331665,0.6589428186416626,0.8854165077209473,0.9155725240707397,0.7722222208976746,0.5032585263252258
3,0.6234874129295349,0.8683041930198669,9.999999747378752e-06,0.9652150273323059,0.6738148927688599,0.5556934475898743,0.6973207592964172,0.9105457663536072,0.8289713859558105,0.7923553586006165,0.5553946495056152
4,0.633571207523346,0.8764627575874329,9.999999747378752e-06,0.931580126285553,0.6827896237373352,0.5650015473365784,0.6980448961257935,0.9130119681358337,0.8138297200202942,0.7861271500587463,0.5908761620521545
5,0.6461371183395386,0.885418713092804,9.999999747378752e-06,0.8939895033836365,0.6940243244171143,0.5837728977203369,0.7031136751174927,0.9164546728134155,0.7974734902381897,0.7855100035667419,0.59666907787323
6,0.6607198119163513,0.8952227830886841,9.999999747378752e-06,0.8579015731811523,0.7081584334373474,0.6019236445426941,0.7320781946182251,0.928452730178833,0.7456257343292236,0.7974797487258911,0.6415640711784363
7,0.6712689995765686,0.8994461297988892,9.999999747378752e-06,0.8413715958595276,0.7174855470657349,0.6161960959434509,0.7277335524559021,0.9297831654548645,0.7384962439537048,0.8018018007278442,0.6444605588912964
8,0.6846106052398682,0.9076634645462036,9.999999747378752e-06,0.8061609268188477,0.7315884232521057,0.6287620067596436,0.7414916753768921,0.9320207834243774,0.7273244261741638,0.7957746386528015,0.6545981168746948
9,0.6791808605194092,0.9068329930305481,9.999999747378752e-06,0.8150084614753723,0.7175151109695435,0.6253490447998047,0.7233888506889343,0.9297577142715454,0.7333037257194519,0.7808939814567566,0.6451846361160278
10,0.6903505921363831,0.9110531806945801,9.999999747378752e-06,0.7920362949371338,0.7332975268363953,0.635122537612915,0.7414916753768921,0.9369587898254395,0.7011454701423645,0.7881646752357483,0.6654598116874695
11,0.703847348690033,0.9176624417304993,9.999999747378752e-06,0.7705287933349609,0.7414126992225647,0.6529631018638611,0.7509051561355591,0.9406023025512695,0.6857069730758667,0.8108808398246765,0.6799420714378357
12,0.6974868178367615,0.915147066116333,9.999999747378752e-06,0.7747088074684143,0.7356890439987183,0.645982027053833,0.7624909281730652,0.9462639689445496,0.6520262360572815,0.8052372932434082,0.7125271558761597
13,0.7114489674568176,0.9188189506530762,9.999999747378752e-06,0.7635121941566467,0.7511048316955566,0.6591684818267822,0.7776973247528076,0.9492120146751404,0.6383745670318604,0.8178834915161133,0.7219406366348267
14,0.7198262214660645,0.9265267848968506,9.999999747378752e-06,0.7221386432647705,0.7603638172149658,0.6743717193603516,0.7762491106987,0.9491962790489197,0.6367025375366211,0.8107457756996155,0.7320781946182251
15,0.7179646492004395,0.9265665411949158,9.999999747378752e-06,0.727486252784729,0.7592365741729736,0.6726652383804321,0.7675597667694092,0.9452749490737915,0.6624290347099304,0.8108333349227905,0.7045618891716003
16,0.7238597869873047,0.9265377521514893,9.999999747378752e-06,0.725990891456604,0.7587834000587463,0.6734408736228943,0.7820420265197754,0.9493133425712585,0.6391955614089966,0.8198052048683167,0.7313541173934937
17,0.7291343212127686,0.9308656454086304,9.999999747378752e-06,0.7067685723304749,0.7652849555015564,0.6874030232429504,0.7914554476737976,0.9510725736618042,0.6278748512268066,0.8201789855957031,0.7299058437347412
18,0.7342538237571716,0.9311054944992065,9.999999747378752e-06,0.710882306098938,0.7639462947845459,0.6883338689804077,0.7798696756362915,0.9502326846122742,0.634725034236908,0.8216612339019775,0.7306299805641174
19,0.7327024340629578,0.932959258556366,9.999999747378752e-06,0.6960910558700562,0.7680180072784424,0.6877133250236511,0.7798696756362915,0.9514195322990417,0.6266753673553467,0.8170631527900696,0.7212164998054504
20,0.7328575849533081,0.9346357583999634,9.999999747378752e-06,0.6877479553222656,0.7701327800750732,0.6928327679634094,0.7958001494407654,0.9539390802383423,0.61249840259552,0.8306451439857483,0.7458363771438599
21,0.7399938106536865,0.9344020485877991,9.999999747378752e-06,0.6897277235984802,0.7771053314208984,0.6971765160560608,0.7921795845031738,0.951763927936554,0.6282442212104797,0.8278418183326721,0.7277335524559021
22,0.7427862286567688,0.9364223480224609,9.999999747378752e-06,0.6745116114616394,0.7757315039634705,0.6991932988166809,0.7979725003242493,0.9555389285087585,0.6025511026382446,0.834664523601532,0.7566980719566345
23,0.7477505207061768,0.9395084977149963,9.999999747378752e-06,0.6624211072921753,0.778230607509613,0.7109835743904114,0.8088341951370239,0.9557756781578064,0.604019045829773,0.8410007953643799,0.7545257210731506
24,0.7474402785301208,0.9399383664131165,9.999999747378752e-06,0.6638777256011963,0.7797250747680664,0.7040024995803833,0.8095582723617554,0.9577990770339966,0.5901727676391602,0.8413848876953125,0.7566980719566345
25,0.7545765042304993,0.9414284825325012,9.999999747378752e-06,0.6608526110649109,0.7872413396835327,0.7140862345695496,0.80666184425354,0.9561962485313416,0.5991732478141785,0.8344103097915649,0.748008668422699
26,0.7690040469169617,0.9441806077957153,9.999999747378752e-06,0.642392635345459,0.7969732880592346,0.7271175980567932,0.7885590195655823,0.9541814923286438,0.6110461354255676,0.8246753215789795,0.7356987595558167
27,0.7592305541038513,0.9429879784584045,9.999999747378752e-06,0.6450400352478027,0.7899217009544373,0.7198262214660645,0.8131788372993469,0.9602550268173218,0.5711211562156677,0.843949019908905,0.7675597667694092
28,0.7519391775131226,0.9407241344451904,9.999999747378752e-06,0.65507972240448,0.7843675017356873,0.7098976373672485,0.8139029741287231,0.958899974822998,0.581838846206665,0.8436247110366821,0.7617668509483337
29,0.7595407962799072,0.943569540977478,9.999999747378752e-06,0.6420871019363403,0.7878119349479675,0.7199813723564148,0.8059377074241638,0.9571993947029114,0.5953172445297241,0.837579607963562,0.7617668509483337
