epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6430344581604004,0.8709537386894226,9.999999747378752e-05,0.9543204307556152,0.7214003205299377,0.5370772480964661,0.7675597667694092,0.9438503980636597,0.699180543422699,0.8404058814048767,0.659666895866394
1,0.7499224543571472,0.9351648688316345,9.999999747378752e-05,0.6879790425300598,0.7847186326980591,0.7074154615402222,0.8030412793159485,0.9572431445121765,0.5903587937355042,0.8376623392105103,0.7472845911979675
2,0.7598510980606079,0.942808210849762,9.999999747378752e-05,0.6379343271255493,0.7885627150535583,0.7209122180938721,0.8167994022369385,0.96270751953125,0.5477024912834167,0.8407148122787476,0.7834902405738831
3,0.7803288698196411,0.9512824416160583,9.999999747378752e-05,0.5970596671104431,0.8041493892669678,0.7516289353370667,0.8225923180580139,0.9638975858688354,0.5385708212852478,0.8433641791343689,0.7914554476737976
4,0.7848278284072876,0.9530863761901855,9.999999747378752e-05,0.5849241614341736,0.8094446063041687,0.7551970481872559,0.8182476758956909,0.9647179245948792,0.5302480459213257,0.8401826620101929,0.7994207143783569
5,0.7882407903671265,0.9542868137359619,9.999999747378752e-05,0.5712407231330872,0.8096182346343994,0.7600061893463135,0.8189717531204224,0.9637885689735413,0.5379549264907837,0.8398467302322388,0.7936277985572815
6,0.7983245253562927,0.9588180184364319,9.999999747378752e-05,0.5471035242080688,0.8202247023582458,0.7700899839401245,0.8211441040039062,0.9656437039375305,0.5197930932044983,0.8397874236106873,0.8008689284324646
7,0.7924293875694275,0.9586201310157776,9.999999747378752e-05,0.5433170199394226,0.8118763566017151,0.7699348330497742,0.8406951427459717,0.9706964492797852,0.48295438289642334,0.8573585152626038,0.8225923180580139
8,0.8149240016937256,0.9633917212486267,9.999999747378752e-05,0.5198621153831482,0.8352710008621216,0.7913434505462646,0.8414192795753479,0.9708582162857056,0.47881972789764404,0.8556391000747681,0.8240405321121216
9,0.8029785752296448,0.9628131985664368,9.999999747378752e-05,0.5166954398155212,0.8212418556213379,0.7797083258628845,0.8421433568000793,0.971403181552887,0.4770294725894928,0.8592926859855652,0.8269370198249817
